YEAR,AREA,REGION,SPECIES,SPECIESNAME,COUNT
2003,11,nh,amwi,American Wigeon,50
2003,16,nh,brpe,Brown Pelican,30
2003,18,nh,nopi,Northern Pintail,10
2003,14,nh,brpe,Brown Pelican,10
2003,18,nh,brpe,Brown Pelican,20
2003,17,nh,redh,Redhead,100
2003,14,nh,bwte,Blue-winged Teal,100
2003,17,nh,scau,Generic Scaup,20
2003,11,nh,canv,Canvasback,100
2003,13,nh,brpe,Brown Pelican,60
2003,16,nh,brpe,Brown Pelican,50
2003,12,nh,brpe,Brown Pelican,80
2003,11,nh,nopi,Northern Pintail,100
2003,10,nh,brpe,Brown Pelican,20
2003,10,nh,scau,Generic Scaup,70
2003,11,nh,nopi,Northern Pintail,500
2003,16,nh,scau,Generic Scaup,100
2003,17,nh,scot,Generic Scoter,300
2003,16,nh,brpe,Brown Pelican,1300
2003,19,nh,scau,Generic Scaup,200
2003,19,nh,nopi,Northern Pintail,50
2003,19,nh,redh,Redhead,100
2003,10,nh,brpe,Brown Pelican,20
2003,11,nh,brpe,Brown Pelican,5
2003,10,nh,brpe,Brown Pelican,70
2003,10,nh,merg,Generic Merganser,10
2003,14,nh,brpe,Brown Pelican,20
2003,16,nh,brpe,Brown Pelican,5
2003,10,nh,brpe,Brown Pelican,100
2003,10,nh,agwt,American Green-winged Teal,100
2003,11,nh,gadw,Gadwall,500
2003,18,nh,scau,Generic Scaup,200
2003,16,nh,redh,Redhead,20
2003,10,nh,brpe,Brown Pelican,30
2003,12,nh,brpe,Brown Pelican,40
2003,10,nh,ospr,Osprey,1
2003,10,nh,scau,Generic Scaup,20
2003,16,nh,brpe,Brown Pelican,7
2003,17,nh,scot,Generic Scoter,80
2003,11,nh,agwt,American Green-winged Teal,30
2003,13,nh,agwt,American Green-winged Teal,200
2003,18,nh,buff,Bufflehead,100
2003,18,nh,scot,Generic Scoter,50
2003,18,nh,brpe,Brown Pelican,20
2003,19,nh,buff,Bufflehead,80
2003,13,nh,brpe,Brown Pelican,5
2003,17,nh,merg,Generic Merganser,50
2003,12,nh,amwi,American Wigeon,10
2003,13,nh,brpe,Brown Pelican,30
2003,9,nh,brpe,Brown Pelican,5
2003,11,nh,gadw,Gadwall,100
2003,14,nh,brpe,Brown Pelican,10
2003,14,nh,bwte,Blue-winged Teal,100
2003,11,nh,agwt,American Green-winged Teal,200
2003,10,nh,redh,Redhead,20
2003,9,nh,brpe,Brown Pelican,20
2003,18,nh,nopi,Northern Pintail,20
2003,11,nh,gadw,Gadwall,50
2003,17,nh,scau,Generic Scaup,150
2003,17,nh,scot,Generic Scoter,12
2003,11,nh,agwt,American Green-winged Teal,1000
2003,11,nh,brpe,Brown Pelican,210
2003,18,nh,ospr,Osprey,1
2003,19,nh,scau,Generic Scaup,100
2003,12,nh,scau,Generic Scaup,15
2003,14,nh,bwte,Blue-winged Teal,100
2003,11,nh,nopi,Northern Pintail,3500
2003,14,nh,amwi,American Wigeon,200
2003,12,nh,brpe,Brown Pelican,20
2003,18,nh,merg,Generic Merganser,10
2003,18,nh,brpe,Brown Pelican,10
2003,10,nh,brpe,Brown Pelican,35
2003,16,nh,redh,Redhead,220
2003,14,nh,brpe,Brown Pelican,20
2003,10,nh,brpe,Brown Pelican,10
2003,11,nh,agwt,American Green-winged Teal,800
2003,11,nh,amwi,American Wigeon,500
2003,16,nh,brpe,Brown Pelican,20
2003,16,nh,brpe,Brown Pelican,20
2003,17,nh,brpe,Brown Pelican,200
2003,11,nh,amwi,American Wigeon,50
2003,18,nh,scau,Generic Scaup,50
2003,11,nh,bwte,Blue-winged Teal,500
2003,12,nh,brpe,Brown Pelican,170
2003,16,nh,brpe,Brown Pelican,45
2003,10,nh,agwt,American Green-winged Teal,100
2003,10,nh,redh,Redhead,50
2003,16,nh,redh,Redhead,20
2003,11,nh,nopi,Northern Pintail,500
2003,10,nh,brpe,Brown Pelican,30
2003,11,nh,agwt,American Green-winged Teal,1800
2003,10,nh,agwt,American Green-winged Teal,1
2003,10,nh,brpe,Brown Pelican,10
2003,14,nh,brpe,Brown Pelican,15
2003,10,nh,brpe,Brown Pelican,10
2003,17,nh,brpe,Brown Pelican,100
2003,10,nh,brpe,Brown Pelican,20
2003,16,nh,mall,Mallard,10
2003,14,nh,bwte,Blue-winged Teal,1000
2003,13,nh,bwte,Blue-winged Teal,3500
2003,10,nh,agwt,American Green-winged Teal,200
2003,11,nh,bwte,Blue-winged Teal,200
2003,10,nh,redh,Redhead,300
2003,16,nh,redh,Redhead,100
2003,18,nh,gold,Generic Goldeneye,5
2003,11,nh,bwte,Blue-winged Teal,500
2003,18,nh,scot,Generic Scoter,100
2003,11,nh,agwt,American Green-winged Teal,100
2003,11,nh,nopi,Northern Pintail,2500
2003,14,nh,scau,Generic Scaup,10
2003,10,nh,merg,Generic Merganser,5
2003,16,nh,buff,Bufflehead,4
2003,14,nh,agwt,American Green-winged Teal,2
2003,10,nh,redh,Redhead,15
2003,11,nh,agwt,American Green-winged Teal,100
2003,14,nh,scau,Generic Scaup,300
2003,10,nh,redh,Redhead,50
2003,14,nh,agwt,American Green-winged Teal,100
2003,14,nh,bwte,Blue-winged Teal,500
2003,17,nh,scot,Generic Scoter,10
2003,10,nh,brpe,Brown Pelican,10
2003,14,nh,scau,Generic Scaup,300
2003,14,nh,ospr,Osprey,1
2003,14,nh,brpe,Brown Pelican,25
2003,17,nh,scau,Generic Scaup,100
2003,18,nh,buff,Bufflehead,50
2003,10,nh,mall,Mallard,30
2003,16,nh,buff,Bufflehead,2
2003,14,nh,gadw,Gadwall,10
2003,16,nh,brpe,Brown Pelican,600
2003,12,nh,brpe,Brown Pelican,5
2003,17,nh,brpe,Brown Pelican,20
2003,10,nh,ospr,Osprey,1
2003,16,nh,scau,Generic Scaup,50
2003,10,nh,agwt,American Green-winged Teal,50
2003,18,nh,buff,Bufflehead,10
2003,10,nh,brpe,Brown Pelican,10
2003,9,nh,brpe,Brown Pelican,40
2003,13,nh,bwte,Blue-winged Teal,100
2003,10,nh,redh,Redhead,200
2003,17,nh,ospr,Osprey,2
2003,14,nh,brpe,Brown Pelican,1
2003,9,nh,brpe,Brown Pelican,10
2003,18,nh,merg,Generic Merganser,5
2003,10,nh,amwi,American Wigeon,20
2003,16,nh,redh,Redhead,40
2003,10,nh,scau,Generic Scaup,50
2003,19,nh,scot,Generic Scoter,50
2003,11,nh,bwte,Blue-winged Teal,200
2003,11,nh,brpe,Brown Pelican,5
2003,13,nh,scau,Generic Scaup,200
2003,18,nh,merg,Generic Merganser,20
2003,17,nh,scau,Generic Scaup,40
2003,10,nh,scau,Generic Scaup,10
2003,18,nh,merg,Generic Merganser,40
2003,16,nh,ospr,Osprey,1
2003,10,nh,ospr,Osprey,1
2003,16,nh,brpe,Brown Pelican,60
2003,17,nh,rndu,Ring-necked Duck,5
2003,12,nh,scau,Generic Scaup,60
2003,10,nh,brpe,Brown Pelican,20
2003,14,nh,brpe,Brown Pelican,5
2003,17,nh,scot,Generic Scoter,50
2003,16,nh,brpe,Brown Pelican,20
2003,14,nh,amwi,American Wigeon,20
2003,16,nh,redh,Redhead,20
2003,11,nh,brpe,Brown Pelican,75
2003,18,nh,buff,Bufflehead,30
2003,18,nh,brpe,Brown Pelican,15
2003,10,nh,scau,Generic Scaup,600
2003,14,nh,bwte,Blue-winged Teal,30
2003,16,nh,brpe,Brown Pelican,30
2003,12,nh,brpe,Brown Pelican,10
2003,16,nh,ospr,Osprey,1
2003,14,nh,rudu,Ruddy Duck,1200
2003,14,nh,nopi,Northern Pintail,500
2003,10,nh,brpe,Brown Pelican,20
2003,14,nh,brpe,Brown Pelican,10
2003,1,nh,amwi,American Wigeon,4
2003,14,nh,rudu,Ruddy Duck,500
2003,18,nh,scot,Generic Scoter,300
2003,1,nh,nopi,Northern Pintail,500
2003,17,nh,scau,Generic Scaup,150
2003,17,nh,scau,Generic Scaup,120
2003,9,nh,nopi,Northern Pintail,100
2003,10,nh,brpe,Brown Pelican,5
2003,18,nh,scot,Generic Scoter,100
2003,14,nh,brpe,Brown Pelican,5
2003,19,nh,brpe,Brown Pelican,80
2003,18,nh,nopi,Northern Pintail,30
2003,18,nh,merg,Generic Merganser,10
2003,17,nh,brpe,Brown Pelican,20
2003,17,nh,redh,Redhead,200
2003,17,nh,ospr,Osprey,1
2003,11,nh,nopi,Northern Pintail,250
2003,18,nh,buff,Bufflehead,50
2003,17,nh,brpe,Brown Pelican,20
2003,17,nh,brpe,Brown Pelican,400
2003,14,nh,brpe,Brown Pelican,30
2003,14,nh,bwte,Blue-winged Teal,300
2003,16,nh,redh,Redhead,50
2003,16,nh,scau,Generic Scaup,20
2003,19,nh,scot,Generic Scoter,100
2003,13,nh,scau,Generic Scaup,50
2003,17,nh,brpe,Brown Pelican,40
2003,13,nh,nopi,Northern Pintail,300
2003,10,nh,rndu,Ring-necked Duck,10
2003,16,nh,brpe,Brown Pelican,80
2003,17,nh,brpe,Brown Pelican,20
2003,11,nh,agwt,American Green-winged Teal,100
2003,9,nh,brpe,Brown Pelican,5
2003,10,nh,brpe,Brown Pelican,10
2003,10,nh,bwte,Blue-winged Teal,200
2003,16,nh,brpe,Brown Pelican,150
2003,11,nh,amwi,American Wigeon,50
2003,17,nh,brpe,Brown Pelican,210
2003,11,nh,brpe,Brown Pelican,60
2003,17,nh,scot,Generic Scoter,20
2003,11,nh,agwt,American Green-winged Teal,200
2003,14,nh,bwte,Blue-winged Teal,1500
2003,18,nh,brpe,Brown Pelican,30
2003,10,nh,merg,Generic Merganser,200
2003,10,nh,ospr,Osprey,1
2003,14,nh,brpe,Brown Pelican,8
2003,14,nh,bwte,Blue-winged Teal,200
2003,16,nh,brpe,Brown Pelican,80
2003,10,nh,brpe,Brown Pelican,40
2003,11,nh,agwt,American Green-winged Teal,20
2003,17,nh,brpe,Brown Pelican,50
2003,10,nh,redh,Redhead,350
2003,17,nh,brpe,Brown Pelican,40
2003,16,nh,redh,Redhead,50
2003,7,nh,bwte,Blue-winged Teal,200
2003,17,nh,scot,Generic Scoter,80
2003,16,nh,redh,Redhead,80
2003,10,nh,brpe,Brown Pelican,55
2003,10,nh,redh,Redhead,10
2003,12,nh,brpe,Brown Pelican,10
2003,17,nh,scau,Generic Scaup,80
2003,10,nh,bwte,Blue-winged Teal,100
2003,1,nh,brpe,Brown Pelican,10
2003,1,nh,ospr,Osprey,1
2003,2,nh,redh,Redhead,300
2003,3,nh,scau,Generic Scaup,5
2003,5,nh,nopi,Northern Pintail,100
2003,7,nh,brpe,Brown Pelican,8
2003,10,nh,agwt,American Green-winged Teal,20
2003,7,nh,nopi,Northern Pintail,20
2003,7,nh,scau,Generic Scaup,100
2003,6,nh,amwi,American Wigeon,100
2003,2,nh,merg,Generic Merganser,50
2003,19,nh,brpe,Brown Pelican,5
2003,11,nh,agwt,American Green-winged Teal,500
2003,14,nh,bwte,Blue-winged Teal,300
2003,17,nh,merg,Generic Merganser,50
2003,17,nh,redh,Redhead,300
2003,16,nh,brpe,Brown Pelican,30
2003,16,nh,scau,Generic Scaup,10
2003,12,nh,scau,Generic Scaup,20
2003,17,nh,scau,Generic Scaup,300
2003,10,nh,ospr,Osprey,1
2003,14,nh,nopi,Northern Pintail,50
2003,14,nh,ospr,Osprey,1
2003,14,nh,bwte,Blue-winged Teal,20
2003,11,nh,agwt,American Green-winged Teal,200
2003,18,nh,scot,Generic Scoter,50
2003,10,nh,amwi,American Wigeon,20
2003,17,nh,redh,Redhead,350
2003,18,nh,scot,Generic Scoter,300
2003,10,nh,redh,Redhead,50
2003,17,nh,scot,Generic Scoter,20
2003,16,nh,brpe,Brown Pelican,400
2003,16,nh,scau,Generic Scaup,20
2003,18,nh,scot,Generic Scoter,100
2003,18,nh,scot,Generic Scoter,100
2003,16,nh,brpe,Brown Pelican,20
2003,14,nh,bwte,Blue-winged Teal,100
2003,14,nh,scau,Generic Scaup,100
2003,10,nh,brpe,Brown Pelican,80
2003,17,nh,scau,Generic Scaup,150
2003,10,nh,brpe,Brown Pelican,20
2003,14,nh,agwt,American Green-winged Teal,20
2003,14,nh,bwte,Blue-winged Teal,100
2003,2,nh,brpe,Brown Pelican,1
2003,4,nh,brpe,Brown Pelican,720
2003,18,nh,scot,Generic Scoter,100
2003,10,nh,scau,Generic Scaup,30
2003,10,nh,brpe,Brown Pelican,120
2003,16,nh,brpe,Brown Pelican,30
2003,12,nh,brpe,Brown Pelican,15
2003,16,nh,ospr,Osprey,1
2003,1,nh,brpe,Brown Pelican,10
2003,11,nh,agwt,American Green-winged Teal,1200
2003,13,nh,nopi,Northern Pintail,2
2003,17,nh,brpe,Brown Pelican,20
2003,11,nh,agwt,American Green-winged Teal,20
2003,11,nh,amwi,American Wigeon,150
2003,11,nh,bwte,Blue-winged Teal,100
2003,11,nh,amwi,American Wigeon,2500
2003,1,nh,ospr,Osprey,1
2003,7,nh,brpe,Brown Pelican,40
2003,9,nh,mall,Mallard,100
2003,9,nh,nopi,Northern Pintail,2500
2003,5,nh,brpe,Brown Pelican,20
2003,7,nh,brpe,Brown Pelican,30
2003,5,nh,brpe,Brown Pelican,20
2003,1,nh,brpe,Brown Pelican,1
2003,16,nh,scau,Generic Scaup,20
2003,1,nh,ospr,Osprey,1
2003,18,nh,merg,Generic Merganser,200
2003,1,nh,nopi,Northern Pintail,100
2003,17,nh,scot,Generic Scoter,50
2003,7,nh,brpe,Brown Pelican,10
2003,19,nh,buff,Bufflehead,40
2003,19,nh,amwi,American Wigeon,30
2003,16,nh,redh,Redhead,40
2003,16,nh,brpe,Brown Pelican,12
2003,10,nh,redh,Redhead,40
2003,14,nh,nopi,Northern Pintail,50
2003,16,nh,ospr,Osprey,1
2003,17,nh,brpe,Brown Pelican,30
2003,16,nh,brpe,Brown Pelican,20
2003,10,nh,brpe,Brown Pelican,20
2003,14,nh,brpe,Brown Pelican,5
2003,18,nh,merg,Generic Merganser,20
2003,11,nh,nopi,Northern Pintail,50
2003,17,nh,merg,Generic Merganser,10
2003,10,nh,scau,Generic Scaup,70
2003,11,nh,nopi,Northern Pintail,100
2003,11,nh,agwt,American Green-winged Teal,40
2003,14,nh,amwi,American Wigeon,50
2003,16,nh,brpe,Brown Pelican,20
2003,11,nh,brpe,Brown Pelican,10
2003,13,nh,agwt,American Green-winged Teal,100
2003,17,nh,merg,Generic Merganser,10
2003,10,nh,mall,Mallard,30
2003,11,nh,agwt,American Green-winged Teal,30
2003,11,nh,brpe,Brown Pelican,20
2003,17,nh,brpe,Brown Pelican,20
2003,10,nh,brpe,Brown Pelican,50
2003,11,nh,amwi,American Wigeon,20
2003,9,nh,brpe,Brown Pelican,20
2003,16,nh,brpe,Brown Pelican,15
2003,10,nh,brpe,Brown Pelican,10
2003,16,nh,redh,Redhead,20
2003,10,nh,brpe,Brown Pelican,50
2003,17,nh,brpe,Brown Pelican,20
2003,17,nh,merg,Generic Merganser,30
2003,16,nh,brpe,Brown Pelican,20
2003,14,nh,rudu,Ruddy Duck,100
2003,10,nh,ospr,Osprey,1
2003,17,nh,merg,Generic Merganser,30
2003,1,nh,brpe,Brown Pelican,220
2003,1,nh,brpe,Brown Pelican,190
2003,10,nh,bwte,Blue-winged Teal,200
2003,12,nh,brpe,Brown Pelican,60
2003,17,nh,merg,Generic Merganser,10
2003,7,nh,rndu,Ring-necked Duck,100
2003,17,nh,scot,Generic Scoter,300
2003,18,nh,merg,Generic Merganser,20
2003,10,nh,ospr,Osprey,1
2003,10,nh,brpe,Brown Pelican,20
2003,17,nh,scot,Generic Scoter,300
2003,14,nh,brpe,Brown Pelican,10
2003,9,nh,brpe,Brown Pelican,30
2003,14,nh,brpe,Brown Pelican,5
2003,1,nh,brpe,Brown Pelican,15
2003,16,nh,ospr,Osprey,1
2003,17,nh,brpe,Brown Pelican,20
2003,18,nh,merg,Generic Merganser,10
2003,2,nh,brpe,Brown Pelican,10
2003,9,nh,rndu,Ring-necked Duck,50
2003,7,nh,brpe,Brown Pelican,5
2003,14,nh,ospr,Osprey,1
2003,10,nh,brpe,Brown Pelican,20
2003,10,nh,agwt,American Green-winged Teal,80
2003,9,nh,ospr,Osprey,1
2003,6,nh,amwi,American Wigeon,500
2003,1,nh,mall,Mallard,20
2003,9,nh,brpe,Brown Pelican,5
2003,11,nh,brpe,Brown Pelican,50
2003,13,nh,bwte,Blue-winged Teal,100
2003,11,nh,agwt,American Green-winged Teal,1000
2003,16,nh,brpe,Brown Pelican,60
2003,11,nh,scau,Generic Scaup,550
2003,19,nh,mall,Mallard,100
2003,16,nh,brpe,Brown Pelican,30
2003,16,nh,buff,Bufflehead,20
2003,9,nh,brpe,Brown Pelican,20
2003,16,nh,brpe,Brown Pelican,10
2003,17,nh,scau,Generic Scaup,30
2003,11,nh,nopi,Northern Pintail,2500
2003,10,nh,ospr,Osprey,1
2003,10,nh,agwt,American Green-winged Teal,100
2003,18,nh,scot,Generic Scoter,50
2003,16,nh,brpe,Brown Pelican,15
2003,14,nh,scau,Generic Scaup,50
2003,16,nh,ospr,Osprey,1
2003,18,nh,scot,Generic Scoter,30
2003,17,nh,brpe,Brown Pelican,40
2003,12,nh,ospr,Osprey,1
2003,14,nh,brpe,Brown Pelican,20
2003,12,nh,bwte,Blue-winged Teal,400
2003,11,nh,amwi,American Wigeon,100
2003,14,nh,ospr,Osprey,1
2003,16,nh,brpe,Brown Pelican,20
2003,10,nh,scau,Generic Scaup,30
2003,16,nh,brpe,Brown Pelican,50
2003,14,nh,ospr,Osprey,1
2003,10,nh,scau,Generic Scaup,60
2003,16,nh,scau,Generic Scaup,10
2003,14,nh,agwt,American Green-winged Teal,100
2003,18,nh,gold,Generic Goldeneye,10
2003,11,nh,agwt,American Green-winged Teal,500
2003,16,nh,ospr,Osprey,1
2003,13,nh,nopi,Northern Pintail,400
2003,17,nh,ospr,Osprey,4
2003,16,nh,brpe,Brown Pelican,30
2003,10,nh,amwi,American Wigeon,50
2003,16,nh,scau,Generic Scaup,250
2003,16,nh,brpe,Brown Pelican,30
2003,17,nh,brpe,Brown Pelican,20
2003,10,nh,agwt,American Green-winged Teal,60
2003,14,nh,brpe,Brown Pelican,20
2003,10,nh,brpe,Brown Pelican,20
2003,10,nh,merg,Generic Merganser,10
2003,11,nh,agwt,American Green-winged Teal,1000
2003,18,nh,nopi,Northern Pintail,30
2003,16,nh,brpe,Brown Pelican,40
2003,18,nh,merg,Generic Merganser,20
2003,2,nh,brpe,Brown Pelican,30
2003,9,nh,brpe,Brown Pelican,30
2003,10,nh,brpe,Brown Pelican,30
2003,17,nh,brpe,Brown Pelican,20
2003,10,nh,bwte,Blue-winged Teal,50
2003,5,nh,nopi,Northern Pintail,500
2003,11,nh,agwt,American Green-winged Teal,300
2003,14,nh,rudu,Ruddy Duck,30
2003,5,nh,mall,Mallard,100
2003,1,nh,merg,Generic Merganser,1
2003,11,nh,bwte,Blue-winged Teal,100
2003,11,nh,canv,Canvasback,100
2003,17,nh,merg,Generic Merganser,10
2003,5,nh,merg,Generic Merganser,50
2003,18,nh,merg,Generic Merganser,50
2003,1,nh,nopi,Northern Pintail,700
2003,12,nh,brpe,Brown Pelican,5
2003,1,nh,scau,Generic Scaup,100
2003,18,nh,buff,Bufflehead,200
2003,16,nh,brpe,Brown Pelican,20
2003,7,nh,brpe,Brown Pelican,20
2003,2,nh,scot,Generic Scoter,5
2003,8,nh,brpe,Brown Pelican,4
2003,3,nh,brpe,Brown Pelican,30
2003,1,nh,brpe,Brown Pelican,650
2003,17,nh,ospr,Osprey,1
2003,16,nh,brpe,Brown Pelican,20
2003,11,nh,nopi,Northern Pintail,300
2003,11,nh,redh,Redhead,20
2003,13,nh,brpe,Brown Pelican,70
2003,14,nh,bwte,Blue-winged Teal,50
2003,11,nh,gadw,Gadwall,200
2003,10,nh,brpe,Brown Pelican,5
2003,18,nh,merg,Generic Merganser,30
2003,12,nh,brpe,Brown Pelican,40
2003,10,nh,brpe,Brown Pelican,10
2003,10,nh,amwi,American Wigeon,50
2003,16,nh,brpe,Brown Pelican,30
2003,14,nh,nopi,Northern Pintail,20
2003,11,nh,brpe,Brown Pelican,40
2003,16,nh,ospr,Osprey,1
2003,10,nh,bwte,Blue-winged Teal,350
2003,10,nh,brpe,Brown Pelican,10
2003,10,nh,scau,Generic Scaup,20
2003,17,nh,merg,Generic Merganser,20
2003,18,nh,merg,Generic Merganser,15
2003,10,nh,brpe,Brown Pelican,200
2003,14,nh,mall,Mallard,10
2003,18,nh,brpe,Brown Pelican,20
2003,17,nh,brpe,Brown Pelican,30
2003,17,nh,brpe,Brown Pelican,30
2003,11,nh,brpe,Brown Pelican,10
2003,14,nh,brpe,Brown Pelican,25
2003,10,nh,scau,Generic Scaup,120
2003,16,nh,brpe,Brown Pelican,50
2003,10,nh,rndu,Ring-necked Duck,30
2003,11,nh,amwi,American Wigeon,200
2003,3,nh,brpe,Brown Pelican,20
2003,10,nh,merg,Generic Merganser,80
2003,16,nh,scau,Generic Scaup,50
2003,10,nh,brpe,Brown Pelican,6
2003,17,nh,merg,Generic Merganser,50
2003,6,nh,brpe,Brown Pelican,50
2003,11,nh,agwt,American Green-winged Teal,100
2003,10,nh,brpe,Brown Pelican,5
2003,14,nh,bwte,Blue-winged Teal,100
2003,10,nh,agwt,American Green-winged Teal,50
2003,16,nh,redh,Redhead,300
2003,9,nh,nopi,Northern Pintail,400
2003,5,nh,brpe,Brown Pelican,150
2003,10,nh,gadw,Gadwall,150
2003,11,nh,nopi,Northern Pintail,1000
2003,16,nh,redh,Redhead,100
2003,11,nh,bwte,Blue-winged Teal,500
2003,17,nh,ospr,Osprey,1
2003,17,nh,brpe,Brown Pelican,30
2003,5,nh,agwt,American Green-winged Teal,100
2003,16,nh,brpe,Brown Pelican,30
2003,11,nh,brpe,Brown Pelican,30
2003,1,nh,amwi,American Wigeon,500
2003,18,nh,scot,Generic Scoter,30
2003,7,nh,buff,Bufflehead,10
2003,16,nh,brpe,Brown Pelican,35
2003,5,nh,amwi,American Wigeon,100
2003,14,nh,bwte,Blue-winged Teal,30
2003,18,nh,scot,Generic Scoter,10
2003,16,nh,ospr,Osprey,2
2003,9,nh,nopi,Northern Pintail,500
2003,7,nh,brpe,Brown Pelican,1
2003,7,nh,brpe,Brown Pelican,60
2003,11,nh,amwi,American Wigeon,100
2003,4,nh,brpe,Brown Pelican,10
2003,6,nh,nopi,Northern Pintail,100
2003,9,nh,merg,Generic Merganser,10
2003,9,nh,brpe,Brown Pelican,30
2003,9,nh,brpe,Brown Pelican,5
2003,1,nh,mall,Mallard,4
2003,5,nh,merg,Generic Merganser,50
2003,9,nh,merg,Generic Merganser,20
2003,9,nh,mall,Mallard,300
2003,3,nh,brpe,Brown Pelican,30
2003,8,nh,brpe,Brown Pelican,30
2003,5,nh,nopi,Northern Pintail,300
2003,3,nh,brpe,Brown Pelican,15
2003,18,nh,scau,Generic Scaup,800
2003,1,nh,brpe,Brown Pelican,250
2003,3,nh,brpe,Brown Pelican,15
2003,6,nh,brpe,Brown Pelican,20
2003,3,nh,buff,Bufflehead,1
2003,9,nh,brpe,Brown Pelican,50
2003,1,nh,brpe,Brown Pelican,2
2003,10,nh,scau,Generic Scaup,30
2003,16,nh,redh,Redhead,160
2003,19,nh,nopi,Northern Pintail,100
2003,17,nh,scot,Generic Scoter,80
2003,18,nh,merg,Generic Merganser,30
2003,16,nh,brpe,Brown Pelican,20
2003,18,nh,scot,Generic Scoter,100
2003,17,nh,scot,Generic Scoter,100
2003,9,nh,ospr,Osprey,1
2003,10,nh,brpe,Brown Pelican,5
2003,17,nh,redh,Redhead,100
2003,10,nh,scau,Generic Scaup,300
2003,10,nh,brpe,Brown Pelican,5
2003,14,nh,brpe,Brown Pelican,5
2003,14,nh,bwte,Blue-winged Teal,200
2003,18,nh,merg,Generic Merganser,20
2003,13,nh,bwte,Blue-winged Teal,100
2003,17,nh,scot,Generic Scoter,20
2003,14,nh,nopi,Northern Pintail,100
2003,17,nh,brpe,Brown Pelican,15
2003,17,nh,gold,Generic Goldeneye,5
2003,17,nh,ospr,Osprey,1
2003,11,nh,gadw,Gadwall,50
2003,16,nh,brpe,Brown Pelican,20
2003,11,nh,scau,Generic Scaup,200
2003,14,nh,nopi,Northern Pintail,100
2003,11,nh,brpe,Brown Pelican,40
2003,16,nh,ospr,Osprey,1
2003,11,nh,bwte,Blue-winged Teal,350
2003,10,nh,scau,Generic Scaup,30
2003,16,nh,brpe,Brown Pelican,30
2003,4,nh,brpe,Brown Pelican,2
2003,16,nh,ospr,Osprey,1
2003,14,nh,brpe,Brown Pelican,15
2003,14,nh,ospr,Osprey,1
2003,12,nh,ospr,Osprey,1
2003,18,nh,scot,Generic Scoter,50
2003,14,nh,brpe,Brown Pelican,5
2003,14,nh,bwte,Blue-winged Teal,500
2003,16,nh,brpe,Brown Pelican,15
2003,10,nh,brpe,Brown Pelican,100
2003,13,nh,brpe,Brown Pelican,80
2003,7,nh,agwt,American Green-winged Teal,1700
2003,9,nh,brpe,Brown Pelican,50
2003,10,nh,merg,Generic Merganser,5
2003,17,nh,brpe,Brown Pelican,30
2003,18,nh,merg,Generic Merganser,20
2003,10,nh,ospr,Osprey,1
2003,6,nh,nopi,Northern Pintail,1500
2003,8,nh,brpe,Brown Pelican,10
2003,7,nh,brpe,Brown Pelican,10
2003,7,nh,brpe,Brown Pelican,10
2003,11,nh,brpe,Brown Pelican,35
2003,4,nh,merg,Generic Merganser,10
2003,1,nh,scot,Generic Scoter,20
2003,3,nh,brpe,Brown Pelican,40
2003,7,nh,merg,Generic Merganser,29
2003,7,nh,brpe,Brown Pelican,20
